,Judul Berita,Isi Berita
0,"Top 3 News: Pekerja Bangunan di Tangerang Serang Tiga Wanita, Salah Satunya Tewas"," Top 3 news hari ini terkait pekerja bangunan yang menyerang tiga wanita penjaga warung makan dengan golok pada Rabu 1 Maret 2023 di Jalan Pasir Randu, Curug, Kabupaten Tangerang, Banten."
1,NasDem Desak MA Beri Peringatan PN Jakpus atas Kegaduhan Soal Pemilu, Mahkamah Agung didesak untuk memberikan peringatan kepada PN Jakarta Pusat atas putusan penundaan Pemilu. PN Jakarta Pusat dinilai keluar dari kewenangan mengadili gugatan Partai PRIMA.
2,"Soal Putusan PN Jakpus, Megawati: Upaya Penundaan Pemilu adalah Inkonstitusional", Ketum PDI Perjuangan (PDIP) Megawati Soekarnoputri mengingatkan dalam berpolitik harus menjunjung tinggi konstitusi dan undang-undang. Arahan Megawati itu disampaikan setelah mendengar putusan PN Jakarta Pusat atas gugatan Partai PRIMA yang meminta KPU tidak melanjutkan tahapan pemilu.
3,"Klarifikasi Harta Rp56 Miliar Belum Selesai, KPK Bakal Panggil Kembali Rafael Alun"," Komisi Pemberantasan Korupsi (KPK) menyatakan pemeriksaan laporan harta kekayaan fantastis Rafael Alun Trisambodo belum selesai. KPK bakal kembali memanggil ayah Mario Dandy Satriyo, tersangka penganiayaan David Latumahina."
4,"Jelang Akhir Pekan, Simak Lagi 26 Titik Ganjil Genap Jakarta yang Berlaku Jumat 3 Maret 20...", Skema aturan ganjil genap oleh otoritas setempat masih terus diberlakukan pada waktu-waktu tertentu dengan sejumlah aturannya di beberapa wilayahnya.
5,KY Persilahkan KPU Lapor atas Putusan PN Jakpus soal Penundaan Tahapan Pemilu, Komisi Yudisial (KY) menanggapi terkait putusan Pengadilan Negeri (PN) Jakarta Pusat atas gugatan Partai Prima dengan pihak tergugat Komisi Pemilihan Umum (KPU). Perihal penundaan tahapan Pemilu 2024 dan kembali melakukan tahap verifikasi.
6,"KPK Sebut Rafael Alun Punya Saham di 6 Perusahaan, Ada Resto Sampai Real Estate", Komisi Pemberantasan Korupsi (KPK) mengungkap kepemilikan enam saham perusahaan eks Pejabat Pajak Rafael Alun Trisambodo yang berada di Yogyakarta dan Minahasa.
7,"Cuaca Hari Ini Jumat 3 Maret 2023: Pagi Jakarta Cerah Berawan, Siang Hujan"," Cuaca hari ini, Jumat (3/3/2023), pagi di Jakarta langitnya diprediksi cerah berawan. Tapi berbeda pada siang hingga malam hari nanti."
8,"Banjir di Kota Tangerang, Dinsos Salurkan Bantuan Makanan untuk Warga Terdampak"," Curah hujan tinggi sejak beberapa hari lalu, membuat sejumlah wilayah di Kota Tangerang terendam banjir. Wilayah seperti Benda, Jurumudi, Jurumudi Baru di Kecamatan Benda dan sekitarnya, ternyata sudah dilanda banjir sejak Rabu, 1 Maret 2023."
9,Komisi II DPR Bakal Panggil KPU Terkait Putusan PN Jakpus Tunda Pemilu, Komisi II DPR akan memanggil Komisi Pemilihan Umum (KPU) terkait putusan PN Jakarta Pusat soal penundaan tahapan Pemilu 2024. Komisi II akan menggelar rapat untuk membahas masalah tersebut.
