,date,username,tweet
0,2023-02-21 23:20:20,fajaronline,"Momen Pertemuan Anies dengan Sandiaga Uno di Milad ke-42 BKMT, Pertama Kali Usai Isu Utang di Pilgub DKI Terbongkar  https://t.co/XulnBiCpl7 #AniesBaswedan #bkmt #SandiagaUno #UtangRp50M"
1,2023-02-21 23:17:11,Kutang2tang,@edo_rosyada @Mdy_Asmara1701 Yg sama sandiagauno mana itu sgt terasa disturbing banger...  Wahahaha
2,2023-02-21 13:16:52,kompascom,"Dalam kaitannya dengan potensi resesi dunia 2023, Menparekraf Sandiaga Uno mengatakan, Indonesia masih dalam posisi yang kuat dan baik.  Namun, Sandiaga mewanti-wanti untuk tetap waspada adanya potensi pasar ekspor yang bakal melemah. &lt; #Money #SandiagaUno  https://t.co/Lcb6gP6qHI"
3,2023-02-21 13:10:05,jpnncom,"Soal Isu Berlabuh ke PPP-Capres, Sandiaga Uno Beri Jawaban Menohok #sandiagauno  https://t.co/DR0YE4t8Nh"
4,2023-02-21 12:06:03,GuysSandi,Penjualan meningkat berkat Endorse Mas Menteri 👏  #sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif  #Indonesia #Twitter #viral #Trending #zonauang  #HUTBCA66 The Strokes #mentoring #business  #markets YOUR TYPE GAME Done All Rules  https://t.co/C47T1Mog8V
5,2023-02-21 07:08:56,monitorindo,"Upaya Penyelamatan Industri Hotel Indonesia, Sandiaga Dorong Regulasi Hari Libur Nasional Berbasis Harpitnas    https://t.co/GGvTW6Myof #Menparekraf #SandiagaUno #IndustriHotel #Covid19 #PHRI #HIPMI #ASITA #IKMA"
6,2023-02-21 06:03:47,sobat_sandi,Pisang Goreng ❎ Hihang Hoheng ✅  #sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif  #Indonesia #Twitter #viral #Trending #zonauang Pagii Selasa Senin Don't Lie THEY NEED TO APOLOGIZE #HUTBCA66 #Food #kuliner #culinary #dessert  https://t.co/se7jklcTRH
7,2023-02-21 05:05:07,ceklissatucom,Sandiaga Ungkap Penyebab Harga Tiket Pesawat Masih Tinggi #SandiagaUno #TiketPesawat  https://t.co/Tn8EioHIto
8,2023-02-21 03:49:14,KafegamaMM_JT,Tulis bagaimana pendapat Sobat yuk😊👇  #Kafegama #kafegamammugm #kafegamajateng #sandiagauno #sandiagasalahuddinuno #pertumbuhanekonomi  https://t.co/BKWwFpX4mO
9,2023-02-21 03:07:12,Economicreview_,"Diselenggarakan 7 Kota Besar, Sandiaga Dukung Festival Sinema Australia  https://t.co/LW9cXnrWun #sandiagauno"
10,2023-02-21 02:58:46,GuysSandi,Dimentoring Mas Menteri langsung 👌✅  #sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif  #Indonesia #Twitter #viral #Trending #zonauang Pagii Selasa Senin Don't Lie THEY NEED TO APOLOGIZE #HUTBCA66 The Strokes #mentoring #business #zonauangᅠ  https://t.co/5BLpo8NXPx
11,2023-02-21 02:54:37,sobat_sandi,Dikacangin ❎ Makan Kacang ✅  #sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif  #Indonesia #Twitter #viral #Trending #zonauang Pagii Selasa Senin Don't Lie THEY NEED TO APOLOGIZE #HUTBCA66  https://t.co/JfFJntmbMH
12,2023-02-21 01:53:56,faktualid_com,"Selamatkan Industri Perhotelan, Sandiaga Uno akan Dorong Harpitnas Direalisasikan #sandiagauno #hotels  https://t.co/flo2LeRZwo"
13,2023-02-20 15:48:09,jpnncom,Aksi Jaringan Sandi Uno Ciptakan Lapangan Kerja Baru di Cirebon #SandiagaUno  https://t.co/n55zMEcMQm
14,2023-02-20 14:14:00,GercepSandiUno,Danau Toba harum kembali di kancah Internasional 👏  #sandiuno #sandiagauno #kemenparekraf #ekonomi #kreatif #pariwisata #FYP #twitter #TrendingNow #trending #viralindo #viral #video #Content #tourism #vacation #StockMarket Senin Di Hati Rakyat  https://t.co/IUJ0blpInY
15,2023-02-20 05:02:50,ketikmedia,"Sandiaga Uno Buka Rakernas PB PRSI, Bersiap Jadwal Padat 2023  Sumber:  https://t.co/rK3U5xhcxg | Media Kolaborasi Indonesia.  https://t.co/5S65xp2N07  #prsi #sandiaga #sandiagauno #rakernas #menteripariwisata #renang #olahraga #olahragarenang #renangindonesia #beritaterkini  https://t.co/HoxhAZzrv6"
16,2023-02-20 02:25:08,Agamsyah1998,Koalisi perubahan tukang ngutang PKS larikan 30 miliar duit fahri hamzah. #sandiagAuno #AniesBaswedan  https://t.co/tN3MNmFZEd
17,2023-02-20 00:17:05,Bytrendzid,Partai Gerindra selesai menggelar pesta rakyat di rumah aspirasi Desmond J Mahesa. Sandiaga Uno menegaskan bahwa agenda itu sangat berdampak pada aspek UMKM.#bytrendz #partaigerindra #sandiuno #sandiagauno #umkm #BreakingNews    https://t.co/C9qhtu5Ruk
18,2023-02-19 10:35:31,emakemaksandi,Tips usaha bertahan di tengah Ekonomi Sulit dari Mas Menteri 👌💪  #sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #picture #PictureOfTheDay #quoteoftheday #Tips #economy #struggling  https://t.co/4lbTl7JCho
19,2023-02-19 10:34:15,GuysSandi,"Tetap konsisten,humble dan santun - @sandiuno   #sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #quotes #quoteoftheday #picture #picoftheday  https://t.co/pRe0rsS5pV"
