,@Username,Tweet,Lokasi
0,Economicreview_,"Diselenggarakan 7 Kota Besar, Sandiaga Dukung Festival Sinema Australia https://t.co/LW9cXnrWun #sandiagauno",Jakarta Capital Region
1,wartapesona,Ajakan Sandiaga Uno kepada Santri di Ponpes Modern Al-Ikhlash Putri Kuningan untuk Menciptakan Konten Kreatif https://t.co/naCmEJnkSq,Indonesia
2,Ini_ajunk,PPP Sebut Pembicaraan Soal Sandiaga Uno antara Mardiono dan Prabowo Masih Disiapkan - Nasional Tempo https://t.co/HzCQWpoVar #PrabowoPerkuatKesehatan #BangkitBersama,jakarta
3,kennymiles72,"Era Digitalisasi, Sandiaga Uno Dorong Anak Muda Jadi Pemimpin Masa Depan, Sandiaga mendorong anak muda untuk menjadi pemimpin di masa depan.",
4,ForumTerkini,"Sufmi Dasco: Sandiaga Uno Masih Kader Gerindra, Belum Pindah ke PKS https://t.co/8LuLSkw5g5 https://t.co/Xsfy07Toaq","Jakarta, INDONESIA"
5,MashaNdeber,"Ridwan Kamil (16,9%)

Agus Harimurti Yudhoyono (10%)

Sandiaga Uno (6,5%)

Muhaimin Iskandar (6%).

#PrabowoUnggul
#BangkitBersama 
Prabowo Subianto",Oblast Tomsk
6,MashaNdeber,"Sementara di peringkat selanjutnya diisi nama-nama, antara lain Airlangga Hartarto, Eric Thohir, Muhaimin Iskandar, Andika Perkara, Puan Maharani, Sandiaga Uno, Mahfud MD, Gatot Nurmantyo, Anis Matta.

#PrabowoUnggul
#BangkitBersama 
Prabowo Subianto",Oblast Tomsk
7,detikcom,Sandiaga Uno memberikan pencerahan dan motivasi kepada para pelaku ekraf dan UMKM binaan keluarga besar PPP Kabupaten Kuningan. https://t.co/p5PiMa7N7I,"Jakarta, Indonesia"
8,SwaraPita,"Ridwan Kamil (16,9%)

Agus Harimurti Yudhoyono (10%)

Sandiaga Uno (6,5%)

Muhaimin Iskandar (6%).

#PrabowoUnggul
#BangkitBersama 
Prabowo Subianto",
9,_dark_roses,@kuwlgurl Sandiaga Uno game,TKG
10,IrfynaC,"""Cawapres paling Favorit sementara ini ialah Ridwan Kamil. Lalu diikuti oleh Agus Harimurti Yudhoyono, Sandiaga uno kemudian Muhaimin Iskandar,"" kata Direktur Median Ade Irfan Abdurrahman.","Gombong, Indonesia"
11,darryl_riona,"""Cawapres paling Favorit sementara ini ialah Ridwan Kamil. Lalu diikuti oleh Agus Harimurti Yudhoyono, Sandiaga uno kemudian Muhaimin Iskandar,"" kata Direktur Median Ade Irfan Abdurrahman.",Indonesia
12,bakti_made,"""Cawapres paling Favorit sementara ini ialah Ridwan Kamil. Lalu diikuti oleh Agus Harimurti Yudhoyono, Sandiaga uno kemudian Muhaimin Iskandar,"" kata Direktur Median Ade Irfan Abdurrahman.","Depok, Indonesia"
13,DaltonSembiring,"@YanHarahap @AgusYudhoyono @aniesbaswedan Sandiaga Uno pun dulu disanjung-sanjung,  akhirnya seluruh pinjaman harus direlakan 😂",Under the sun
14,RyujiDanma4,"""Cawapres paling Favorit sementara ini ialah Ridwan Kamil. Lalu diikuti oleh Agus Harimurti Yudhoyono, Sandiaga uno kemudian Muhaimin Iskandar,"" kata Direktur Median Ade Irfan Abdurrahman.","Depok, Indonesia"
15,ECandraji,"""Cawapres paling Favorit sementara ini ialah Ridwan Kamil. Lalu diikuti oleh Agus Harimurti Yudhoyono, Sandiaga uno kemudian Muhaimin Iskandar,"" kata Direktur Median Ade Irfan Abdurrahman.",
16,AryFauzian,"""Cawapres paling Favorit sementara ini ialah Ridwan Kamil. Lalu diikuti oleh Agus Harimurti Yudhoyono, Sandiaga uno kemudian Muhaimin Iskandar,"" kata Direktur Median Ade Irfan Abdurrahman.","Jakarta Pusat, DKI Jakarta"
17,Pahamya_Okesip,Pernah lihat Sandiaga Uno atau Hari Tanu selfi pegang duit? Yg ada yg hobi kayak gitu itu kuli. Orang yg kaya beneran malah gak pernah pamer apa2 sama sekali. Kalaupun pamer justru sosoknya gak kelihatan. Misalnya yg difoto barangnya doang atau duitnya doang. Takut dikejar pajak.,"Dunia, Panggung Sandiwara"
18,Alonesiacom,"Ditemui Presiden Direktur Lion Air Group, Sandiaga Uno Singgung Harga Tiket Pesawat Terjangkau https://t.co/TwfClBEizk",
19,inilahdotcom,"Untuk merealisasikan Indonesia sebagai kiblatnya ekonomi digital, Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) Sandiaga Uno menargetkan 24 usaha rintisan (startup) Indonesia ikut program Baparekraf for Start Up (Bekup) 2023. “Pada Bekup 2023 kami… https://t.co/yREQPfTItn",
20,goentz1,"Ridwan Kamil (16,9%)

Agus Harimurti Yudhoyono (10%)

Sandiaga Uno (6,5%)

Muhaimin Iskandar (6%).

#PrabowoUnggul
#BangkitBersama 
Prabowo Subianto",
21,goentz1,"Airlangga Hartarto, Eric Thohir, Muhaimin Iskandar, Andika Perkara, Puan Maharani, Sandiaga Uno, Mahfud MD, Gatot Nurmantyo, Anis Matta.

#PrabowoUnggul
#BangkitBersama 
Prabowo Subianto",
22,soloposdotcom,Sandiaga Uno Pasang Target 24 Start Up Ikuti Program Bekup 2023 https://t.co/D01hls7wgB,"Solo, Central Java, Indonesia"
23,OkeBaliNews,Sandiaga Uno Meluncurkan Program Baparekraf for Startup BEKUP 2023 - https://t.co/7ys3fGdM8r https://t.co/ILNB7joevc,"Bali, Indonesia"
24,fajarposmedia,@sandiuno eks. Wagub DKI Jakarta / Menteri @Kemenparekraf [Profil Sandiaga Uno | Sandiaga Salahuddin Uno 📺 selengkapnya tersedia di @fajarpostv : https://t.co/K616N7cnKS],Indonesia
25,mercifulove,"7. Agus H Yudhoyono 3,1%
8. Puan Maharani 2,7%
9. Sandiaga Uno 2,7%
10. Airlangga Hartarto 2,4%
11. Muhaimin Iskandar 2,2%
#PrabowoNana2024 #IkutPakde Prabowo Subianto",
26,mercifulove,"Puan Maharani: 1,6%
Sandiaga Uno: 1,5%
AHY: 1,3%
Andika Perkasa: 0,8%
Cak Imin: 0,6%
#PrabowoNana2024 #IkutPakde Prabowo Subianto",
27,rkrijuara,"Cawapres Terfavorit survei Median Ridwan Kamil @ridwankamil
Disusul AHY dan Sandiaga Uno 
https://t.co/D3lwFzBdi5","Jawa Barat, Indonesia"
28,InfoKinimks,"Gubernur Andi Sudirman Dampingi
Sandiaga Uno dan Teten Masduki Buka INACRAFT 2023

https://t.co/c6cOvjSY1c","Kota Makassar, Sulawesi Selata"
29,HeruPra38506136,@CNNIndonesia Maju Anies-Sandiaga Uno,Cirebon
30,Sobat_Juara,"""Cawapres paling Favorit sementara ini ialah Ridwan Kamil. Lalu diikuti oleh Agus Harimurti Yudhoyono, Sandiaga uno kemudian Muhaimin Iskandar,"" kata Direktur Median Ade Irfan Abdurrahman.","Jawa Barat, Indonesia"
31,kompascom,Menparekraf Sandiaga Uno mengapresiasi Pemprov Sulsel yang jadi ikon dalam pameran produk kerajinan Inacraft 2023. https://t.co/FddChsGhGG,Jakarta
32,kimiafarmaind,"...yang kali ini mengusung Tema The Authentic South Sulawesi Pameran INACRAFT 2023 diresmikan langsung oleh Menparekraft Sandiaga Uno selaku Menteri Pariwisata dan Ekonomi Kreatif mewakili Presiden Joko Widodo pada Rabu (1/3) Mengikutsertakan UMKM Binaan dalam pameran,... https://t.co/LAsGUVhadh",Indonesia
33,rkrijuara,"Permisi, Elektabilitas Ridwan Kamil @ridwankamil Tertinggi Salip Sandiaga Uno dan Erick Thohir di Survei Cawapres Versi IPS - https://t.co/tuvFmnX7eS","Jawa Barat, Indonesia"
34,Wisesa2024,"Permisi, Elektabilitas Ridwan Kamil @ridwankamil Tertinggi Salip Sandiaga Uno dan Erick Thohir di Survei Cawapres Versi IPS - https://t.co/jISTzt39Z1
#Ridwan",
35,SejarahLokal,"Lion Air Gandeng Kemenparekraf, Tiket Lebih Murah!  Sandiaga Uno Optimis 1,4 Miliar Wisatawan Tercapai!
#SandiagaUno 
 https://t.co/mrrkeMBoTl",
36,HilyaSalsabill4,Ya Alloh sekian lama baru sempet buka Instagram dan ke ruang pak Sandiaga Uno Di postingan terbaru beliau malah yang pada komentar tentang pak ABW 🤣🤣🤣🤣sampe ketawa kekel malah komentatornya pada mendo’akan pak ABW jadi Presiden 2024 begitu banyak yang mencintai ABW❤️,
37,Milli621807311,"Wiiiih, akeh yo
Tapi belum bisa bayar hutang sama Sandiaga Uno dan Jusuf kala (Charli Chaplin). https://t.co/J8oWapm19d",
38,MNCupdate,"Menteri Pariwisata dan Ekonomi Kreatif, Sandiaga Uno memberikan apresiasi terhadap karya Callista Aldenia yang sukses mendesain baju konser Billie Ellish. 

#Sandiagauno #CallistaAldenia #billieeilish #Bandung #beritaviral #HotNews #MNCUpdate #Updaters https://t.co/BiwlIZZjlr","DKI Jakarta, Indonesia"
39,tvOneNews,Dasco Tegaskan Sandiaga Uno Masih di Gerindra Meski Diisukan Dampingi Anies Baswedan https://t.co/RLLwcrA8ft,Pulo Gadung
40,riananasution17,"Gak mungkin ahh. Pak Sandiaga itu patuh sama prabowo dan gerindra pastinya. Ngablu yaa wkwkwk 
#Anies #pks #sandiagauno #gerindra",
41,Rizwariryb,"8. Muhaimin Iskandar 2,0%
9. Andika Perkasa 1,3%
10. Puan Maharani 1,3%
11. Mahfud Md 1,2%
12. Sandiaga Uno 1%
13. Gatot Nurmantyo 0,9%
14. Anis Matta 0,8%
15. Moeldoko 0,5%
16. Giring Ganesha 0,5%
17. Hary Tanoesoedibjo 0,2% 

#PrabowoUnggul #IkutPakdePrabowoSubianto",Senayan Jakarta Selatan
42,Sunardirendhi,"Menparekraf Sandiaga Uno Senang Pelaku UMKM di Cirebon Beri Sumbangsih Target 4,4 Lapangan Kerja https://t.co/PQMBFhV8Al  @Kemenparekraf   @sandiuno    @cirebon",
43,sobat_sandi,"Bangga sekali rasanya bisa hadir dalam agenda AA Investment Summit 2023.

@sandiuno 

#sandiagauno #sandiuno  #Ekonomi Bapak #kreatif #Twitter #FYP #vacation #destination Ini Twitter Jam 5 Maret Siang Mengangkat https://t.co/Zifr9mGyDE",
44,GuysSandi,#sandiagauno #sandiuno  #Ekonomi Bapak #kreatif #Twitter #FYP #vacation #destination Ini Twitter Jam 5 Maret Siang Mengangkat,
45,sobat_sandi,"Pesawat Khusus Event F1PowerBoat ! 👏

@sandiuno 

#sandiagauno #sandiuno  #Ekonomi Bapak #kreatif #Twitter #FYP #vacation #destination Ini Twitter Jam 5 Maret Siang Mengangkat https://t.co/cpWPlb57vt",
46,KumhamNTB,"Pameran yang dibuka oleh Menteri Pariwisata dan Ekonomi Kreatif Indonesia, Sandiaga Uno ini diharapkan dapat menjadi sarana pengenalan berbagai produk Indikasi Geografis

#KumhamNTB
#KemenkumhamNTB
#RomiYudianto
#KanwilKemenkumhamNTB
Kanwil Kemenkumham NTB
Romi Yudianto",
47,rkij_sukabumi,"Sebanyak 21,8 persen responden menyatakan, Ridwan Kamil sebagai sosok yang paling tepat untuk menjadi wapres mendatang, sedangkan Sandiaga Uno dipilih oleh 15,5 persen responden,"" lanjut Alfin Sugianto.","Sukabumi, Indonesia"
48,rkij_sukabumi,"Permisi, Elektabilitas Ridwan Kamil Tertinggi Salip Sandiaga Uno dan Erick Thohir di Survei Cawapres Versi IPS https://t.co/ZwQtBNlOXy","Sukabumi, Indonesia"
